123,TIGER 미국테크TOP10 INDXX,"26,715",10,+0.04%,0,"33,794","126,500",0.04,"388,951",N/A,N/A,
124,포스코DX,"21,750",50,+0.23%,500,"33,068","152,035",3.14,"114,506",42.40,17.92,
125,풍산,"117,800",100,-0.08%,"5,000","33,013","28,024",24.65,"61,526",17.05,11.33,
126,산일전기,"104,100","2,100",-1.98%,500,"31,693","30,445",11.66,"285,885",26.29,29.88,
127,HD현대마린엔진,"93,200","1,100",+1.19%,"2,500","31,615","33,921",12.91,"266,628",34.65,28.34,
128,대한조선,"81,700",900,+1.11%,"5,000","31,476","38,526",0.57,"291,905",6.56,55.26,
129,롯데지주,"29,900",500,-1.64%,200,"31,368","104,909",8.21,"189,641",-3.16,-15.56,
130,서울보증보험,"44,800","1,200",+2.75%,"2,500","31,280","69,822",0.87,"55,925",14.68,4.12,
131,KODEX 미국나스닥100,"21,690",10,+0.05%,0,"30,615","141,150",0.03,"478,215",N/A,N/A,
132,에스원,"80,000",400,+0.50%,500,"30,399","37,999",56.13,"7,884",16.27,10.85,
133,현대엘리베이터,"76,500",800,-1.03%,"5,000","29,906","39,092",25.71,"55,077",12.67,14.42,
134,대한전선,"15,220",40,-0.26%,"1,000","28,377","186,447",7.01,"274,461",97.56,5.85,
135,TIGER 200,"42,855",350,+0.82%,0,"28,327","66,100",10.84,"558,318",N/A,N/A,
136,한미사이언스,"41,100",100,+0.24%,500,"28,109","68,392",2.24,"53,393",46.34,7.30,
137,금호석유화학,"106,000",900,-0.84%,"5,000","28,047","26,460",18.40,"29,215",10.77,5.88,
138,KODEX 200TR,"15,340",130,+0.85%,0,"27,865","181,650",0.00,"266,124",N/A,N/A,
139,TIGER KOFR금리액티브(합성),"109,605",0,0.00%,0,"27,288","24,897",0.00,"46,487",N/A,N/A,
140,동서,"27,350",150,-0.55%,500,"27,268","99,700",4.02,"16,921",19.14,9.52,
141,한화생명,"3,105",20,-0.64%,"5,000","26,968","868,530",10.33,"629,743",3.99,6.98,
142,롯데케미칼,"61,700",100,-0.16%,"5,000","26,392","42,775",21.42,"49,421",-1.25,-11.44,
143,HD현대인프라코어,"13,950",370,+2.72%,"1,000","26,345","188,851",16.33,"836,591",60.13,5.92,
144,농심,"427,000","1,500",-0.35%,"5,000","25,973","6,083",18.74,"32,108",17.33,6.17,
145,영원무역,"58,600",400,+0.69%,500,"25,967","44,311",30.06,"12,922",7.00,12.32,
146,한화비전,"51,400",400,+0.78%,500,"25,951","50,488",22.83,"88,458","-1,427.78",N/A,
147,F&F,"65,400",100,+0.15%,100,"25,053","38,307",10.64,"22,901",7.45,25.27,
148,현대해상,"27,850",50,+0.18%,500,"24,898","89,400",35.24,"77,822",3.66,15.75,
149,RISE 머니마켓액티브,"54,620",5,+0.01%,0,"24,383","44,642",0.90,"104,504",N/A,N/A,
150,미스토홀딩스,"40,400",0,0.00%,"1,000","24,279","60,096",37.76,"29,062",19.62,4.30,
151,TIGER 미국필라델피아반도체나스닥,"20,650",25,-0.12%,0,"24,222","117,300",0.07,"237,541",N/A,N/A,
152,한온시스템,"3,555",20,-0.56%,100,"24,130","678,763",5.17,"324,783",-5.73,-13.90,
153,KODEX CD1년금리플러스액티브(합성),"1,021,870",55,+0.01%,0,"23,978","2,346",0.00,"21,701",N/A,N/A,
154,시프트업,"40,450",300,-0.74%,200,"23,777","58,782",37.20,"50,277",14.64,31.30,
155,신영증권,"143,900","6,800",-4.51%,"5,000","23,657","16,440",6.76,"39,934",18.65,6.45,
156,더존비즈온,"77,200","1,000",-1.28%,500,"23,456","30,383",10.51,"133,084",39.55,17.03,
157,코스맥스,"206,500","4,500",-2.13%,500,"23,437","11,350",32.77,"103,619",37.81,20.53,
158,엘앤에프,"64,500",500,+0.78%,500,"23,424","36,316",13.62,"248,218",-5.64,-41.74,
159,ACE 미국30년국채액티브(H),"7,565",15,-0.20%,0,"23,051","304,700",0.00,"1,231,637",N/A,N/A,
160,SK가스,"247,500","2,000",-0.80%,"5,000","22,882","9,245",7.20,"3,451",8.83,6.74,
161,제일기획,"19,790",30,+0.15%,200,"22,767","115,041",22.82,"48,567",12.70,15.12,
162,ACE 미국S&P500,"22,550",10,-0.04%,0,"22,640","100,400",0.11,"377,444",N/A,N/A,
163,한전KPS,"50,100",250,+0.50%,200,"22,545","45,000",11.61,"73,364",17.15,13.26,
164,TIGER 미국배당다우존스,"12,315",25,+0.20%,0,"22,358","181,550",0.06,"707,567",N/A,N/A,
165,한국앤컴퍼니,"23,400",500,-2.09%,500,"22,215","94,935",9.81,"39,302",7.40,8.28,
166,iM금융지주,"13,660",170,-1.23%,"5,000","22,137","162,055",44.66,"138,323",8.96,3.60,
167,SK아이이테크놀로지,"27,000",50,+0.19%,"1,000","22,083","81,787",5.71,"41,665",-10.89,-10.41,
168,아모레퍼시픽홀딩스,"26,850",300,-1.10%,500,"21,335","79,458",11.34,"59,588",24.52,7.57,
169,코리안리,"10,930",30,-0.27%,500,"21,294","194,821",26.52,"56,116",6.02,9.45,
170,달바글로벌,"172,500","2,000",-1.15%,100,"21,194","12,286",9.62,"95,867",29.62,26.21,
171,KODEX 레버리지,"24,360",410,+1.71%,0,"20,986","86,150",0.62,"12,522,391",N/A,N/A,
172,팬오션,"3,865",30,-0.77%,"1,000","20,661","534,570",16.27,"215,008",7.05,5.17,
173,SNT다이내믹스,"62,100","1,400",-2.20%,"2,500","20,650","33,253",7.43,"49,299",25.18,12.90,
174,TIGER 머니마켓액티브,"101,100",10,+0.01%,0,"20,409","20,187",0.00,"104,903",N/A,N/A,
175,이마트,"71,600",100,+0.14%,"5,000","19,759","27,596",22.87,"57,336",-4.40,-5.40,
176,DB하이텍,"44,500",200,+0.45%,"5,000","19,757","44,399",28.88,"33,874",8.72,12.44,
177,BGF리테일,"113,500","1,500",-1.30%,"1,000","19,617","17,284",28.64,"13,949",10.93,17.29,
178,아시아나항공,"9,415",15,+0.16%,"5,000","19,394","205,991",2.88,"18,915",9.23,-53.21,
179,CJ대한통운,"82,300",400,-0.48%,"5,000","18,775","22,812",14.03,"18,189",7.98,6.58,
180,파라다이스,"20,050",600,-2.91%,500,"18,481","92,175",11.62,"748,926",21.13,4.97,
181,동원산업,"41,800",900,-2.11%,"1,000","18,454","44,148",5.00,"17,524",14.15,2.74,
182,한솔케미칼,"162,800","3,300",+2.07%,"5,000","18,454","11,335",35.96,"26,142",13.19,13.48,
183,롯데쇼핑,"65,200","1,100",-1.66%,"5,000","18,444","28,289",8.95,"53,626",-1.92,-7.75,
184,호텔신라,"45,600",850,-1.83%,"5,000","17,897","39,248",12.52,"108,610",-19.32,-6.50,
185,한국콜마,"75,300",600,-0.79%,500,"17,775","23,605",38.52,"158,901",18.31,12.50,
186,영원무역홀딩스,"131,300","1,600",-1.20%,500,"17,724","13,499",21.30,"7,784",6.62,13.17,
187,엠앤씨솔루션,"193,300",300,+0.16%,100,"17,694","9,154",8.08,"14,771",44.08,21.82,
188,STX엔진,"43,800",50,-0.11%,"2,500","17,585","40,148",6.90,"1,745,029",27.56,10.15,
189,HJ중공업,"21,050",200,-0.94%,"5,000","17,529","83,274",3.09,"26,258,437",55.84,1.56,
190,씨에스윈드,"41,400",50,+0.12%,500,"17,459","42,171",12.88,"70,387",8.41,13.92,
191,KODEX 코스닥150레버리지,"8,635",85,+0.99%,0,"17,192","199,100",0.21,"10,317,339",N/A,N/A,
192,두산퓨얼셀,"26,200",100,+0.38%,100,"17,159","65,494",10.94,"858,812",-94.93,N/A,
193,TIGER 25-10 회사채(A+이상)액티브,"55,335",5,-0.01%,0,"17,149","30,992",0.17,"38,454",N/A,N/A,
194,ACE 미국나스닥100,"24,830",25,+0.10%,0,"17,033","68,600",0.24,"251,133",N/A,N/A,
195,TIGER 차이나전기차SOLACTIVE,"10,775",10,-0.09%,0,"17,003","157,800",0.87,"992,439",N/A,N/A,
196,일진전기,"35,450",50,-0.14%,"1,000","16,904","47,685",10.55,"268,247",25.60,10.60,
197,KODEX 200선물인버스2X,"1,329",21,-1.56%,0,"16,874","1,269,700",2.19,"275,090,060",N/A,N/A,
198,한국카본,"32,100",0,0.00%,500,"16,663","51,908",11.89,"221,143",26.51,4.38,
199,HL만도,"35,050",600,-1.68%,"1,000","16,458","46,957",23.77,"78,151",90.10,5.47,
200,RISE 종합채권(A-이상)액티브,"110,465",45,-0.04%,0,"16,292","14,749",0.00,414,N/A,N/A,
